kegg_id	chebi_id
C00563	CHEBI:45353
C00565	CHEBI:18139
C00566	CHEBI:15459
C00568	CHEBI:17836
C00569	CHEBI:27569
C00570	CHEBI:16732
C00571	CHEBI:15773
C00574	CHEBI:28419
C00575	CHEBI:17489
C00576	CHEBI:15710
C00577	CHEBI:17378
C00579	CHEBI:17694
C00580	CHEBI:17437
C00581	CHEBI:16344
C00582	CHEBI:15537
C00583	CHEBI:16997
C00584	CHEBI:15551
C00586	CHEBI:15866
C00587	CHEBI:16193
C00588	CHEBI:18132
C00590	CHEBI:17745
C00591	CHEBI:16498
C00593	CHEBI:17717
C00596	CHEBI:1113
C00597	CHEBI:17050
C00599	CHEBI:16175
C00601	CHEBI:16424
C00602	CHEBI:28034
C00603	CHEBI:15412
C00604	CHEBI:44975
C00605	CHEBI:15469
C00606	CHEBI:16345
C00607	CHEBI:37397
C00609	CHEBI:17176
C00611	CHEBI:16153
C00612	CHEBI:17927
C00613	CHEBI:28224
C00616	CHEBI:17730
C00617	CHEBI:16085
C00618	CHEBI:16142
C00619	CHEBI:47909
C00620	CHEBI:16300
C00621	CHEBI:15750
C00623	CHEBI:16221
C00624	CHEBI:17533
C00625	CHEBI:16062
C00627	CHEBI:28803
C00628	CHEBI:17189
C00630	CHEBI:15479
C00631	CHEBI:17835
C00632	CHEBI:15793
C00633	CHEBI:17597
C00634	CHEBI:18250
C00635	CHEBI:18296
C00636	CHEBI:18205
C00637	CHEBI:18086
C00638	CHEBI:15904
C00639	CHEBI:15553
C00640	CHEBI:15455
C00641	CHEBI:17815
C00642	CHEBI:18101
C00643	CHEBI:17780
C00644	CHEBI:16298
C00645	CHEBI:17122
C00647	CHEBI:18335
C00650	CHEBI:18115
C00651	CHEBI:48031
C00652	CHEBI:16292
C00653	CHEBI:16051
C00655	CHEBI:15652
C00658	CHEBI:50998
C00659	CHEBI:982
C00661	CHEBI:17138
C00662	CHEBI:16906
C00663	CHEBI:16218
C00664	CHEBI:15639
C00665	CHEBI:28602
C00666	CHEBI:16026
C00668	CHEBI:17665
C00669	CHEBI:17515
C00670	CHEBI:16870
C00671	CHEBI:15614
C00672	CHEBI:11563
C00673	CHEBI:16132
C00674	CHEBI:15994
C00676	CHEBI:18241
C00677	CHEBI:16381
C00679	CHEBI:16369
C00680	CHEBI:16488
C00681	CHEBI:16975
C00682	CHEBI:17236
C00683	CHEBI:15466
C00684	CHEBI:17647
C00686	CHEBI:16173
C00688	CHEBI:15744
C00689	CHEBI:18283
C00691	CHEBI:17811
C00692	CHEBI:16970
C00694	CHEBI:12357
C00695	CHEBI:16359
C00696	CHEBI:15555
C00697	CHEBI:17997
C00698	CHEBI:17996
C00700	CHEBI:10049
C00701	CHEBI:18282
C00703	CHEBI:16793
C00704	CHEBI:18421
C00705	CHEBI:28846
C00706	CHEBI:32952
C00707	CHEBI:37166
C00708	CHEBI:16382
C00711	CHEBI:6650
C00712	CHEBI:16196
C00713	CHEBI:7912
C00714	CHEBI:17309
C00715	CHEBI:26374
C00716	CHEBI:17822
C00717	CHEBI:17522
C00718	CHEBI:28102
C00719	CHEBI:17750
C00720	CHEBI:15858
C00721	CHEBI:28675
C00722	CHEBI:32955
C00723	CHEBI:5931
C00725	CHEBI:16494
C00726	CHEBI:18379
C00727	CHEBI:16536
C00729	CHEBI:15884
C00732	CHEBI:3070
C00734	CHEBI:16261
C00735	CHEBI:17650
C00736	CHEBI:15356
C00737	CHEBI:16362
C00738	CHEBI:4194
C00739	CHEBI:16855
C00740	CHEBI:16523
C00741	CHEBI:16583
C00742	CHEBI:17051
C00744	CHEBI:17371
C00745	CHEBI:17688
C00746	CHEBI:7872
C00747	CHEBI:16227
C00748	CHEBI:28599
C00750	CHEBI:15746
C00751	CHEBI:15440
C00752	CHEBI:9574
C00753	CHEBI:27998
C00755	CHEBI:18346
C00756	CHEBI:16188
C00757	CHEBI:16118
C00758	CHEBI:17377
C00760	CHEBI:18246
C00761	CHEBI:16220
C00762	CHEBI:16962
C00763	CHEBI:16313
C00764	CHEBI:48674
C00765	CHEBI:27729
C00766	CHEBI:5070
C00768	CHEBI:27570
C00770	CHEBI:17796
C00771	CHEBI:6364
C00772	CHEBI:17646
C00773	CHEBI:7989
C00774	CHEBI:17276
C00777	CHEBI:15367
C00779	CHEBI:16945
C00780	CHEBI:28790
C00783	CHEBI:16656
C00785	CHEBI:27247
C00786	CHEBI:16786
C00787	CHEBI:29182
C00788	CHEBI:28918
C00789	CHEBI:16022
C00791	CHEBI:16737
C00792	CHEBI:15816
C00793	CHEBI:16375
C00794	CHEBI:17924
C00795	CHEBI:4249
C00796	CHEBI:4513
C00797	CHEBI:15862
C00798	CHEBI:15522
C00799	CHEBI:18220
C00800	CHEBI:13115
C00801	CHEBI:33838
C00802	CHEBI:16582
C00803	CHEBI:17418
C00804	CHEBI:15364
C00805	CHEBI:16914
C00806	CHEBI:27897
C00807	CHEBI:18233
C00808	CHEBI:15396
C00809	CHEBI:15397
C00810	CHEBI:15686
C00811	CHEBI:32374
C00812	CHEBI:47908
C00813	CHEBI:16294
C00814	CHEBI:17574
C00815	CHEBI:15584
C00817	CHEBI:17360
C00818	CHEBI:16002
C00819	CHEBI:17061
C00820	CHEBI:16398
C00821	CHEBI:17956
C00822	CHEBI:16852
C00823	CHEBI:16125
C00824	CHEBI:30408
C00825	CHEBI:28098
C00826	CHEBI:17530
C00827	CHEBI:15529
C00828	CHEBI:16374
C00829	CHEBI:16482
C00830	CHEBI:17121
C00831	CHEBI:16753
C00832	CHEBI:7934
C00835	CHEBI:16095
C00836	CHEBI:16566
C00837	CHEBI:27405
C00840	CHEBI:9937
C00841	CHEBI:15709
C00842	CHEBI:15700
C00843	CHEBI:15410
C00844	CHEBI:17396
C00845	CHEBI:15474
C00846	CHEBI:15775
C00847	CHEBI:17405
C00848	CHEBI:16123
C00849	CHEBI:27750
C00852	CHEBI:16112
C00853	CHEBI:15982
C00854	CHEBI:18099
C00855	CHEBI:16867
C00856	CHEBI:17873
C00857	CHEBI:18304
C00858	CHEBI:18088
C00859	CHEBI:27717
C00860	CHEBI:16255
C00861	CHEBI:17897
C00862	CHEBI:17448
C00863	CHEBI:25411
C00864	CHEBI:7916
C00865	CHEBI:16247
C00868	CHEBI:17554
C00869	CHEBI:17162
C00870	CHEBI:16836
C00871	CHEBI:2588
C00872	CHEBI:17475
C00873	CHEBI:2718
C00875	CHEBI:23066
C00876	CHEBI:16848
C00877	CHEBI:15473
C00878	CHEBI:16157
C00879	CHEBI:30852
C00880	CHEBI:12931
C00881	CHEBI:15698
C00882	CHEBI:15468
C00884	CHEBI:85981
C00885	CHEBI:17582
C00886	CHEBI:17732
C00887	CHEBI:17045
