foodb_compound_id	foodb_compound_name	chebi_id	chebi_label	match_source	match_type
964	2-Acetyl-1-ethylpyrrole	CHEBI:173371	2-Acetyl-1-ethylpyrrole	primary_name	exact_label
965	1,1-Diethoxy-2-hexene	CHEBI:179542	1,1-Diethoxy-2-hexene	primary_name	exact_label
969	Allyl nonanoate	CHEBI:171828	Allyl nonanoate	primary_name	exact_label
970	N-Acetyl-L-serine	CHEBI:45441	N-acetyl-L-serine	primary_name	exact_label
971	Propylene glycol stearate	CHEBI:189897	Propylene glycol stearate	primary_name	exact_label
972	9-Pentadecenoic acid	CHEBI:229715	9-pentadecenoic acid	primary_name	exact_label
974	Saringosterol 3-glucoside	CHEBI:172762	Saringosterol 3-glucoside	primary_name	exact_label
975	Isofucosterol glucoside	CHEBI:172750	Isofucosterol glucoside	primary_name	exact_label
984	Cymorcin monoglucoside	CHEBI:169582	Cymorcin monoglucoside	primary_name	exact_label
986	2-O-Protocatechuoylalphitolic acid	CHEBI:190857	2-O-Protocatechuoylalphitolic acid	primary_name	exact_label
987	2alpha-Hydroxypyracrenic acid	CHEBI:168334	2alpha-Hydroxypyracrenic acid	primary_name	exact_label
989	6-Epi-7-isocucurbic acid glucoside	CHEBI:168143	6-Epi-7-isocucurbic acid glucoside	primary_name	exact_label
991	Unshuoside A	CHEBI:168973	Unshuoside A	primary_name	exact_label
1003	Montecristin	CHEBI:171952	Montecristin	primary_name	exact_label
1006	Diisodityrosine	CHEBI:172807	Diisodityrosine	primary_name	exact_label
1008	Mangiferic acid	CHEBI:170098	Mangiferic acid	primary_name	exact_label
1009	8-Dotriacontenoic acid	CHEBI:176722	8-Dotriacontenoic acid	primary_name	exact_label
1011	Pentasine	CHEBI:172785	Pentasine	primary_name	exact_label
1012	Momordol	CHEBI:172680	Momordol	primary_name	exact_label
1014	Nicotinic acid	CHEBI:15940	nicotinic acid	primary_name	exact_label
1015	Methyl nicotinate	CHEBI:134761	methyl nicotinate	primary_name	exact_label
1022	Ethyl hexadecanoate	CHEBI:84932	ethyl hexadecanoate	primary_name	exact_label
1026	Doristerol	CHEBI:166793	Doristerol	primary_name	exact_label
1031	2,6-Diisopropyl-3-methylphenol	CHEBI:172434	2,6-Diisopropyl-3-methylphenol	primary_name	exact_label
1034	2,4-Diisopropyl-5-methylphenol	CHEBI:169631	2,4-Diisopropyl-5-methylphenol	primary_name	exact_label
1044	L-Malic acid	CHEBI:6650	malic acid	chebi_synonym	exact_label
1053	Harmalol	CHEBI:27943	harmalol	primary_name	exact_label
1054	Ascorbigen	CHEBI:64944	ascorbigen	primary_name	exact_label
1055	Vulgaxanthin I	CHEBI:174560	Vulgaxanthin I	primary_name	exact_label
1057	Betalamic acid	CHEBI:27483	betalamic acid	primary_name	exact_label
1068	(-)-trans-Carveol glucoside	CHEBI:172544	(-)-trans-Carveol glucoside	primary_name	exact_label
1069	(+)-trans-Carveol glucoside	CHEBI:175042	(+)-trans-Carveol glucoside	primary_name	exact_label
1072	27-Deoxy-5alpha-cyprinol	CHEBI:175524	27-Deoxy-5alpha-cyprinol	primary_name	exact_label
1074	1,2-Epoxy-1,2,7,7',8,8',11,12-octahydro-psi,psi-carotene	CHEBI:180836	1,2-Epoxy-1,2,7,7',8,8',11,12-octahydro-psi,psi-carotene	primary_name	exact_label
1075	1,2-Epoxy-1,2,7,7',8,8',11',12'-octahydro-psi,psi-carotene	CHEBI:180836	1,2-Epoxy-1,2,7,7',8,8',11,12-octahydro-psi,psi-carotene	primary_name	exact_label
1081	Methyl (xi)-3-nonenoate	CHEBI:180214	Methyl (xi)-3-nonenoate	primary_name	exact_label
1092	(3beta,22E)-26,27-Dinorergosta-5,22-dien-3-ol	CHEBI:172131	(3beta,22E)-26,27-Dinorergosta-5,22-dien-3-ol	primary_name	exact_label
1094	Umbelliferone	CHEBI:27510	umbelliferone	primary_name	exact_label
1109	D-Tagatose	CHEBI:16443	D-tagatose	primary_name	exact_label
1110	D-Tartaric acid	CHEBI:15672	D-tartaric acid	primary_name	exact_label
1113	L-Tartaric acid	CHEBI:15671	L-tartaric acid	primary_name	exact_label
1114	alpha,alpha-Trehalose	CHEBI:16551	alpha,alpha-trehalose	primary_name	exact_label
1116	D-Glucaric acid	CHEBI:16002	D-glucaric acid	primary_name	exact_label
1118	Sambubiose	CHEBI:145629	sambubiose	primary_name	exact_label
1120	Sorbitan laurate	CHEBI:169001	Sorbitan laurate	primary_name	exact_label
1121	Sorbitan oleate	CHEBI:172670	Sorbitan oleate	primary_name	exact_label
1122	Sorbitan palmitate	CHEBI:170910	Sorbitan palmitate	primary_name	exact_label
1124	Sorbitan trioleate	CHEBI:184756	Sorbitan trioleate	primary_name	exact_label
1126	L-Sorbose	CHEBI:17266	L-sorbose	primary_name	exact_label
1127	Starch acetate	CHEBI:168003	Starch acetate	primary_name	exact_label
1129	Asiaticoside B	CHEBI:187486	Asiaticoside B	primary_name	exact_label
1130	Amylose	CHEBI:28102	amylose	primary_name	exact_label
1131	Sucrose	CHEBI:17992	sucrose	primary_name	exact_label
1132	Sucrose octaacetate	CHEBI:180783	Sucrose octaacetate	primary_name	exact_label
1134	Xylitol	CHEBI:17151	xylitol	primary_name	exact_label
1136	D-Xylose	CHEBI:65327	D-xylose	primary_name	exact_label
1141	Inulin	CHEBI:15443	inulin	primary_name	exact_label
1143	Kojibiose	CHEBI:33020	kojibiose	primary_name	exact_label
1145	Lactose	CHEBI:17716	lactose	primary_name	exact_label
1146	Lucuminoside	CHEBI:176069	Lucuminoside	primary_name	exact_label
1148	L-Galacto-2-heptulose	CHEBI:168038	L-Galacto-2-heptulose	primary_name	exact_label
1155	Artonin T	CHEBI:176137	Artonin T	primary_name	exact_label
1159	alpha-D-Galactopyranose 1-dihydrogen phosphate	CHEBI:17973	alpha-D-galactose 1-phosphate	primary_name	exact_synonym
1161	D-Galacturonic acid	CHEBI:18024	D-galacturonic acid	primary_name	exact_label
1168	Gynocardin	CHEBI:5578	Gynocardin	primary_name	exact_label
1169	Tetraphyllin B	CHEBI:138780	Tetraphyllin B	primary_name	exact_label
1170	(-)-Quinic acid	CHEBI:17521	(-)-quinic acid	primary_name	exact_label
1171	D-4-O-Methyl-myo-inositol	CHEBI:172909	D-4-O-Methyl-myo-inositol	primary_name	exact_label
1176	Isodulcitol	CHEBI:62346	L-rhamnopyranose	chebi_synonym	exact_label
1177	beta-D-3-Ribofuranosyluric acid	CHEBI:174850	beta-D-3-Ribofuranosyluric acid	primary_name	exact_label
1178	Neokestose	CHEBI:175865	Neokestose	primary_name	exact_label
1183	Cellulose acetate	CHEBI:145232	cellulose acetate	primary_name	exact_label
1184	Methyl cellulose	CHEBI:53448	methyl cellulose	primary_name	exact_label
1186	gamma-Cyclodextrin	CHEBI:495056	gamma-cyclodextrin	primary_name	exact_label
1191	Maltohexaose	CHEBI:27445	maltohexaose	primary_name	exact_label
1192	Maltopentaose	CHEBI:62006	maltopentaose	primary_name	exact_label
1193	Maltose	CHEBI:17306	maltose	primary_name	exact_label
1195	Maltotetraose	CHEBI:28460	maltotetraose	primary_name	exact_label
1196	Maltotriose	CHEBI:61993	maltotriose	primary_name	exact_label
1197	Mannan	CHEBI:28808	mannan	primary_name	exact_label
1202	D-Mannose	CHEBI:16024	D-mannose	primary_name	exact_label
1203	Melezitose	CHEBI:6731	melezitose	primary_name	exact_label
1204	Melibiose	CHEBI:28053	melibiose	primary_name	exact_label
1205	Galactaric acid	CHEBI:30852	galactaric acid	primary_name	exact_label
1209	N-Acetylneuraminic acid	CHEBI:17012	N-acetylneuraminic acid	primary_name	exact_label
1267	Hexyl acetate	CHEBI:87510	hexyl acetate	primary_name	exact_label
1298	gamma-Tocotrienol	CHEBI:33277	gamma-tocotrienol	primary_name	exact_label
1299	d-Tocotrienol	CHEBI:166698	d-Tocotrienol	primary_name	exact_label
1315	Isofucosterol	CHEBI:28604	isofucosterol	primary_name	exact_label
1321	1-Mercapto-2-propanone	CHEBI:89835	1-Mercapto-2-propanone	primary_name	exact_label
1324	3-Methylbutanoic acid	CHEBI:28484	isovaleric acid	primary_name	exact_synonym
1355	Dexamethasone	CHEBI:41879	dexamethasone	primary_name	exact_label
1366	Ethyl propionate	CHEBI:41330	ethyl propionate	primary_name	exact_label
1372	2-Hydroxy-2-methylbutanedioic acid	CHEBI:15584	citramalic acid	primary_name	exact_synonym
1404	Indole-3-butyric acid	CHEBI:33070	indole-3-butyric acid	primary_name	exact_label
1438	4-Hydroxy-2E-nonenal	CHEBI:142593	4-hydroxynonenal	chebi_synonym	exact_label
1463	Geranyl diphosphate	CHEBI:17211	geranyl diphosphate	primary_name	exact_label
1465	trans-beta-Ocimene	CHEBI:10436	beta-ocimene	chebi_synonym	exact_synonym
1472	Sakuranetin	CHEBI:28927	sakuranetin	primary_name	exact_label
1474	beta-D-Glucosamine	CHEBI:28393	beta-D-glucosamine	primary_name	exact_label
1477	Glutaric acid	CHEBI:17859	glutaric acid	primary_name	exact_label
1490	L-Homoarginine	CHEBI:27747	L-homoarginine	primary_name	exact_label
1491	L-Homocysteine	CHEBI:17588	L-homocysteine	primary_name	exact_label
1498	Glutathione	CHEBI:16856	glutathione	primary_name	exact_label
1514	1,5-Dicaffeoylquinic acid	CHEBI:142446	1,5-Dicaffeoylquinic acid	primary_name	exact_label
1532	Betulinic acid	CHEBI:3087	betulinic acid	primary_name	exact_label
1546	Artemetin	CHEBI:175930	Artemetin	primary_name	exact_label
1604	Xanthosine	CHEBI:18107	xanthosine	primary_name	exact_label
1931	Succinic acid	CHEBI:15741	succinic acid	primary_name	exact_label
1946	L-Leucine	CHEBI:15603	L-leucine	primary_name	exact_label
1970	5-Hydroxy-3,3',4',6,7,8-hexamethoxyflavone	CHEBI:191600	5-Hydroxy-3,3',4',6,7,8-hexamethoxyflavone	primary_name	exact_label
1976	L-Cystathionine	CHEBI:17482	L-cystathionine	primary_name	exact_label
1977	Xanthine	CHEBI:15318	xanthine	primary_name	exact_label
1978	7-Methylxanthine	CHEBI:48991	7-methylxanthine	primary_name	exact_label
1979	Cytarabine	CHEBI:28680	cytarabine	primary_name	exact_label
1980	D-Gluconic acid	CHEBI:33198	D-gluconic acid	primary_name	exact_label
1982	D-Mannitol	CHEBI:16899	D-mannitol	primary_name	exact_label
2030	Laudanine	CHEBI:76103	laudanine	primary_name	exact_label
2036	Launobine	CHEBI:174971	Launobine	primary_name	exact_label
2087	Quinine	CHEBI:15854	quinine	primary_name	exact_label
2089	(S)-Reticuline	CHEBI:16718	(S)-reticuline	primary_name	exact_label
2100	Caffeine	CHEBI:27732	caffeine	primary_name	exact_label
2107	Turanose	CHEBI:32528	turanose	primary_name	exact_label
2170	Perlolyrine	CHEBI:69444	perlolyrine	primary_name	exact_label
2250	L-Tryptophan	CHEBI:16828	L-tryptophan	primary_name	exact_label
2253	3-Aminopropanoic acid	CHEBI:16958	beta-alanine	primary_name	exact_synonym
2257	Arginine	CHEBI:29016	arginine	primary_name	exact_label
2259	Substance P	CHEBI:80308	substance P	primary_name	exact_label
2261	D-Threitol	CHEBI:48300	D-threitol	primary_name	exact_label
2262	Selenocysteine	CHEBI:9093	selenocysteine	primary_name	exact_label
2265	Armillaripin	CHEBI:168784	Armillaripin	primary_name	exact_label
2268	Merodesmosine	CHEBI:168656	Merodesmosine	primary_name	exact_label
2281	N-Acetyl-L-cysteine	CHEBI:28939	N-acetyl-L-cysteine	primary_name	exact_label
2324	Macrophorin B	CHEBI:174964	Macrophorin B	primary_name	exact_label
2328	Hordatine B	CHEBI:5763	hordatine B	primary_name	exact_label
2338	Methyl tetradecanoate	CHEBI:89199	methyl tetradecanoate	primary_name	exact_label
2353	Ampicillin	CHEBI:28971	ampicillin	primary_name	exact_label
2363	Spirolide E	CHEBI:189885	Spirolide E	primary_name	exact_label
2364	Artonol D	CHEBI:187795	Artonol D	primary_name	exact_label
2365	ACRL Toxin II	CHEBI:172535	ACRL Toxin II	primary_name	exact_label
2374	(2S,4S,6S)-2-[2-(4-Hydroxy-3-meyhoxyphenyl)ethyl]tetrahydro-6-(4,5-dihydroxy-3-methoxyphenyl)-2H-pyran-4-ol	CHEBI:173232	(2S,4S,6S)-2-[2-(4-Hydroxy-3-meyhoxyphenyl)ethyl]tetrahydro-6-(4,5-dihydroxy-3-methoxyphenyl)-2H-pyran-4-ol	primary_name	exact_label
2402	Janthitrem E	CHEBI:176203	Janthitrem E	primary_name	exact_label
2403	Janthitrem F	CHEBI:190850	Janthitrem F	primary_name	exact_label
2404	Janthitrem G	CHEBI:231148	Janthitrem G	primary_name	exact_label
2427	Rosmarinic acid	CHEBI:17226	rosmarinic acid	primary_name	exact_label
2431	gamma-Tocopherol	CHEBI:18185	gamma-tocopherol	primary_name	exact_label
2437	Tovophyllin B	CHEBI:191764	Tovophyllin B	primary_name	exact_label
2488	Enterolactone	CHEBI:81555	Enterolactone	primary_name	exact_label
2542	Bergapten	CHEBI:18293	5-methoxypsoralen	chebi_synonym	exact_label
2558	Caffeic acid	CHEBI:36281	caffeic acid	primary_name	exact_label
2559	trans-Caffeic acid	CHEBI:16433	trans-caffeic acid	primary_name	exact_label
2571	Catechin	CHEBI:23053	catechin	primary_name	exact_label
2590	m-Coumaric acid	CHEBI:47925	3-coumaric acid	chebi_synonym	exact_label
2604	Cycloheterophyllin	CHEBI:175844	Cycloheterophyllin	primary_name	exact_label
2608	Daidzein	CHEBI:28197	daidzein	primary_name	exact_label
2613	Delphinidin	CHEBI:28436	delphinidin	primary_name	exact_label
2621	Gartanin	CHEBI:5279	gartanin	primary_name	exact_label
2648	Euxanthone	CHEBI:4946	euxanthone	primary_name	exact_label
2677	Hesperetin	CHEBI:28230	hesperetin	primary_name	exact_label
2688	13alpha-Hydroxydolineone	CHEBI:174717	13alpha-Hydroxydolineone	primary_name	exact_label
2700	Isoferulic acid	CHEBI:27794	isoferulic acid	primary_name	exact_label
2706	6alpha-Hydroxyphaseollin	CHEBI:191750	6alpha-Hydroxyphaseollin	primary_name	exact_label
2709	(+)-12a-Hydroxypachyrrhizone	CHEBI:191831	(+)-12a-Hydroxypachyrrhizone	primary_name	exact_label
2722	Mammeigin	CHEBI:171865	Mammeigin	primary_name	exact_label
2736	Morin	CHEBI:75092	morin	primary_name	exact_label
2744	Patuletin	CHEBI:75164	patuletin	primary_name	exact_label
